codigo_cta,tipo_documento,status_documento,numero_documento,data_emissao,data_vencimento,data_quitacao,valor_documento,valor_desconto,valor_saldo,Usuario,descricao_tipo_documento,fornecedor,numero_documento_base
31,fornecedor,quitado,173458/C,2024-11-06,2025-01-05,2025-01-17,31150.0,0.0,0.0,ADMIN,DUPLICATA,MEDIX,173458
32,fornecedor,quitado,173458/D,2024-11-06,2025-01-20,2025-01-23,31150.0,0.0,0.0,ADMIN,DUPLICATA,MEDIX,173458
33,fornecedor,quitado,28539/D,2024-11-08,2025-01-07,2025-01-08,1855.7,0.0,0.0,ADMIN,DUPLICATA,BIOCIENCIA,28539
34,fornecedor,quitado,20762/B,2024-11-25,2025-01-24,2025-01-27,1433.33,0.0,0.0,ADMIN,DUPLICATA,OMNIELMASTER,20762
35,fornecedor,quitado,20762/C,2024-11-25,2025-02-23,2025-03-17,1433.34,0.0,0.0,ADMIN,DUPLICATA,OMNIELMASTER,20762
36,fornecedor,quitado,98683/B,2024-11-26,2025-01-25,2025-01-28,3218.16,0.0,0.0,ADMIN,DUPLICATA,VALFARMA,98683
37,fornecedor,quitado,14402/B,2024-11-26,2025-01-10,2025-01-17,4488.13,0.0,0.0,ADMIN,DUPLICATA,BELIEVE,14402
38,fornecedor,quitado,1793468/C,2024-11-13,2025-01-13,2025-01-17,19688.04,0.0,0.0,ADMIN,DUPLICATA,CIRURGICA FERNANDES,1793468
39,fornecedor,quitado,11446/B,2024-11-26,2025-01-10,2025-01-17,3108.38,0.0,0.0,ADMIN,DUPLICATA,ALFEMA FORTALEZA,11446
40,fornecedor,quitado,11446/C,2024-11-26,2025-01-27,2025-01-28,3109.0,0.0,0.0,ADRIANA,DUPLICATA,ALFEMA FORTALEZA,11446
41,fornecedor,quitado,51687/B,2024-12-02,2025-01-06,2025-01-07,1748.96,0.0,0.0,ADMIN,DUPLICATA,JB FARMA DISTRIBUIDORA,51687
42,fornecedor,quitado,76618/C,2024-11-21,2025-01-02,2025-01-02,4875.76,0.0,0.0,ADMIN,DUPLICATA,VIC PHARMA,76618
43,fornecedor,quitado,51687/C,2024-12-02,2025-01-13,2025-01-20,1745.21,0.0,0.0,ADMIN,DUPLICATA,JB FARMA DISTRIBUIDORA,51687
44,fornecedor,quitado,327124/A,2024-12-03,2025-01-02,2025-01-02,309.44,0.0,0.0,ADMIN,DUPLICATA,DROGA FARMA,327124
45,fornecedor,quitado,9896/A,2024-12-04,2025-01-03,2025-01-08,663.35,0.0,0.0,ADMIN,DUPLICATA,PLENAMED,9896
46,fornecedor,quitado,76620/C,2024-11-21,2025-01-02,2025-01-02,2071.28,0.0,0.0,ADMIN,DUPLICATA,VIC PHARMA,76620
47,fornecedor,quitado,51500/B,2024-11-27,2025-01-01,2025-01-02,2553.76,0.0,0.0,ADMIN,DUPLICATA,JB FARMA DISTRIBUIDORA,51500
48,fornecedor,quitado,51500/C,2024-11-27,2025-01-08,2025-01-20,2553.76,0.0,0.0,ADMIN,DUPLICATA,JB FARMA DISTRIBUIDORA,51500
49,fornecedor,quitado,51530/B,2024-11-28,2025-01-02,2025-01-02,2619.23,0.0,0.0,ADMIN,DUPLICATA,JB FARMA DISTRIBUIDORA,51530
50,fornecedor,quitado,51530/C,2024-11-28,2025-01-09,2025-01-20,2619.23,0.0,0.0,ADMIN,DUPLICATA,JB FARMA DISTRIBUIDORA,51530
51,fornecedor,quitado,98976/A,2024-12-04,2025-01-03,2025-01-03,7388.4,0.0,0.0,ADMIN,DUPLICATA,VALFARMA,98976
52,fornecedor,quitado,98976/B,2024-12-04,2025-01-18,2025-01-23,7388.4,0.0,0.0,ADMIN,DUPLICATA,VALFARMA,98976
53,fornecedor,quitado,19452/B,2024-12-02,2025-01-06,2025-01-08,812.83,0.0,0.0,ADMIN,DUPLICATA,FORTSAN,19452
54,fornecedor,quitado,130025/A,2024-12-20,2025-01-19,2025-01-23,140.0,0.0,0.0,ADMIN,DUPLICATA,SUPER SUPPLY,130025
55,fornecedor,quitado,99501/A,2024-12-19,2025-01-18,2025-01-23,1704.35,0.0,0.0,ADMIN,DUPLICATA,VALFARMA,99501
56,fornecedor,quitado,99501/B,2024-12-19,2025-02-17,2025-03-06,1704.35,0.0,0.0,ADMIN,DUPLICATA,VALFARMA,99501
57,fornecedor,quitado,98976/C,2024-12-04,2025-02-02,2025-02-04,7388.4,0.0,0.0,ADMIN,DUPLICATA,VALFARMA,98976
58,fornecedor,quitado,111855/A,2024-12-04,2025-01-03,2025-01-03,309.88,0.0,0.0,ADMIN,DUPLICATA,DINAMICA,111855
59,fornecedor,quitado,14527/A,2024-12-04,2025-01-03,2025-01-03,5504.04,0.0,0.0,ADMIN,DUPLICATA,BELIEVE,14527
60,fornecedor,quitado,14527/B,2024-12-04,2025-01-18,2025-01-23,5504.03,0.0,0.0,ADMIN,DUPLICATA,BELIEVE,14527
61,fornecedor,quitado,14527/C,2024-12-04,2025-02-02,2025-02-04,5504.03,0.0,0.0,ADMIN,DUPLICATA,BELIEVE,14527
62,fornecedor,quitado,3540/A,2024-12-04,2025-01-03,2025-01-03,297.82,0.0,0.0,ADMIN,DUPLICATA,BIOFARMACE,3540
63,fornecedor,quitado,111870/A,2024-12-04,2025-01-03,2025-01-03,678.0,0.0,0.0,ADMIN,DUPLICATA,DINAMICA,111870
64,fornecedor,quitado,1035/A,2024-12-04,2025-01-03,2025-01-03,322.0,0.0,0.0,ADMIN,DUPLICATA,BDS MEDICAL LTDA,1035
65,fornecedor,quitado,337210/A,2024-12-17,2025-01-16,2025-01-20,20545.88,0.0,0.0,ADMIN,DUPLICATA,FARMACE,337210
66,fornecedor,quitado,337210/B,2024-12-17,2025-01-26,2025-01-28,20545.88,0.0,0.0,ADMIN,DUPLICATA,FARMACE,337210
67,fornecedor,quitado,337210/C,2024-12-17,2025-02-05,2025-03-06,20545.88,0.0,0.0,ADMIN,DUPLICATA,FARMACE,337210
68,fornecedor,quitado,337210/D,2024-12-17,2025-02-15,2025-03-06,20545.88,0.0,0.0,ADMIN,DUPLICATA,FARMACE,337210
69,fornecedor,quitado,337210/E,2024-12-17,2025-03-02,2025-03-14,20545.88,0.0,0.0,ADMIN,DUPLICATA,FARMACE,337210
70,fornecedor,quitado,2355/A,2024-12-06,2025-01-03,2025-01-03,1700.0,0.0,0.0,ADMIN,DUPLICATA,LUKTEX HOSPITALAR,2355
71,fornecedor,quitado,2355/B,2024-12-06,2025-01-10,2025-01-17,1700.0,0.0,0.0,ADMIN,DUPLICATA,LUKTEX HOSPITALAR,2355
72,fornecedor,quitado,99092/A,2024-12-06,2025-01-05,2025-01-07,6928.79,0.0,0.0,ADMIN,DUPLICATA,VALFARMA,99092
73,fornecedor,quitado,99092/B,2024-12-06,2025-01-20,2025-01-27,6788.5,0.0,0.0,ADMIN,DUPLICATA,VALFARMA,99092
74,fornecedor,quitado,99092/C,2024-12-06,2025-02-04,2025-03-06,6788.5,0.0,0.0,ADMIN,DUPLICATA,VALFARMA,99092
75,fornecedor,quitado,14571/A,2024-12-06,2025-01-05,2025-01-06,2059.15,0.0,0.0,ADMIN,DUPLICATA,BELIEVE,14571
76,fornecedor,quitado,14571/B,2024-12-06,2025-01-20,2025-01-27,2059.14,0.0,0.0,ADMIN,DUPLICATA,BELIEVE,14571
77,fornecedor,quitado,14571/C,2024-12-06,2025-02-04,2025-03-06,2059.14,0.0,0.0,ADMIN,DUPLICATA,BELIEVE,14571
78,fornecedor,quitado,785059/B,2024-11-12,2025-01-11,2025-03-05,186.06,0.0,0.0,ADMIN,DUPLICATA,SUPER PRO COM EQUIP E FERR. LTDA,785059
79,fornecedor,quitado,785059/C,2024-11-12,2025-02-10,2025-03-05,186.06,0.0,0.0,ADMIN,DUPLICATA,SUPER PRO COM EQUIP E FERR. LTDA,785059
80,fornecedor,quitado,785059/D,2024-11-12,2025-03-12,2025-03-17,186.06,0.0,0.0,ADMIN,DUPLICATA,SUPER PRO COM EQUIP E FERR. LTDA,785059
81,fornecedor,quitado,785059/E,2024-11-12,2025-04-11,2025-04-15,186.06,0.0,0.0,ADMIN,DUPLICATA,SUPER PRO COM EQUIP E FERR. LTDA,785059
82,fornecedor,quitado,785059/F,2024-11-12,2025-05-11,2025-05-12,186.06,0.0,0.0,ADMIN,DUPLICATA,SUPER PRO COM EQUIP E FERR. LTDA,785059
83,fornecedor,quitado,785059/G,2024-11-12,2025-06-10,2025-05-12,186.06,0.0,0.0,ADMIN,DUPLICATA,SUPER PRO COM EQUIP E FERR. LTDA,785059
84,fornecedor,aberto,785059/H,2024-11-12,2025-07-10,,186.06,0.0,186.06,ADMIN,DUPLICATA,SUPER PRO COM EQUIP E FERR. LTDA,785059
85,fornecedor,aberto,785059/I,2024-11-12,2025-08-09,,186.06,0.0,186.06,ADMIN,DUPLICATA,SUPER PRO COM EQUIP E FERR. LTDA,785059
86,fornecedor,aberto,785059/J,2024-11-12,2025-09-08,,186.06,0.0,186.06,ADMIN,DUPLICATA,SUPER PRO COM EQUIP E FERR. LTDA,785059
87,fornecedor,quitado,51783/A,2024-12-05,2025-01-02,2025-01-02,1595.76,0.0,0.0,ADMIN,DUPLICATA,JB FARMA DISTRIBUIDORA,51783
88,fornecedor,quitado,51783/B,2024-12-05,2025-01-09,2025-01-20,1548.84,0.0,0.0,ADMIN,DUPLICATA,JB FARMA DISTRIBUIDORA,51783
89,fornecedor,quitado,51783/C,2024-12-05,2025-01-16,2025-01-20,1548.84,0.0,0.0,ADMIN,DUPLICATA,JB FARMA DISTRIBUIDORA,51783
90,fornecedor,quitado,59095/B,2024-11-25,2025-01-06,2025-01-08,7297.76,0.0,0.0,ADMIN,DUPLICATA,MEDSONDA,59095
91,fornecedor,quitado,125445/A,2024-11-29,2025-01-03,2025-01-08,12431.7,0.0,0.0,ADMIN,DUPLICATA,EQUIPLEX,125445
92,fornecedor,quitado,127544/A,2024-12-05,2025-01-04,2025-01-06,611.68,0.0,0.0,ADMIN,DUPLICATA,SUPER SUPPLY,127544
93,fornecedor,quitado,125445/B,2024-11-29,2025-01-10,2025-01-17,11991.97,0.0,0.0,ADMIN,DUPLICATA,EQUIPLEX,125445
94,fornecedor,quitado,125445/C,2024-11-29,2025-01-24,2025-01-27,11995.56,0.0,0.0,ADMIN,DUPLICATA,EQUIPLEX,125445
95,fornecedor,quitado,35195/A,2024-12-05,2025-01-04,2025-01-07,9199.68,0.0,0.0,ADMIN,DUPLICATA,NORD FARMA,35195
96,fornecedor,quitado,35195/B,2024-12-05,2025-01-14,2025-01-20,9126.67,0.0,0.0,ADMIN,DUPLICATA,NORD FARMA,35195
97,fornecedor,quitado,51796/A,2024-12-05,2025-01-02,2025-01-02,1031.97,0.0,0.0,ADMIN,DUPLICATA,JB FARMA DISTRIBUIDORA,51796
98,fornecedor,quitado,51796/B,2024-12-05,2025-01-09,2025-01-20,1001.61,0.0,0.0,ADMIN,DUPLICATA,JB FARMA DISTRIBUIDORA,51796
99,fornecedor,quitado,51796/C,2024-12-05,2025-01-16,2025-01-20,1001.61,0.0,0.0,ADMIN,DUPLICATA,JB FARMA DISTRIBUIDORA,51796
100,fornecedor,quitado,35195/C,2024-12-05,2025-01-24,2025-01-27,9126.67,0.0,0.0,ADMIN,DUPLICATA,NORD FARMA,35195
101,fornecedor,quitado,35273/A,2024-12-06,2025-01-05,2025-01-07,7037.34,0.0,0.0,ADMIN,DUPLICATA,NORD FARMA,35273
102,fornecedor,quitado,218637/A,2024-12-04,2025-01-01,2025-01-02,6927.2,0.0,0.0,ADMIN,DUPLICATA,CIRURGICA MONTEBELLO,218637
103,fornecedor,quitado,218637/B,2024-12-04,2025-01-15,2025-01-20,6432.4,0.0,0.0,ADMIN,DUPLICATA,CIRURGICA MONTEBELLO,218637
104,fornecedor,quitado,218637/C,2024-12-04,2025-01-29,2025-02-04,6432.4,0.0,0.0,ADMIN,DUPLICATA,CIRURGICA MONTEBELLO,218637
105,fornecedor,quitado,254831/A,2024-12-05,2025-01-04,2025-01-06,356.15,0.0,0.0,ADMIN,DUPLICATA,SELLENE MATRIZ,254831
106,fornecedor,quitado,99065/A,2024-12-06,2025-01-05,2025-01-06,435.6,0.0,0.0,ADMIN,DUPLICATA,VALFARMA,99065
107,fornecedor,quitado,61612/C,2024-11-26,2025-01-06,2025-01-20,3920.0,0.0,0.0,ADMIN,DUPLICATA,PROMEFARMA MEDIC. E PRODUTOS HOSPITALARES LTDA,61612
108,fornecedor,quitado,61612/D,2024-11-26,2025-01-13,2025-01-20,3920.0,0.0,0.0,ADMIN,DUPLICATA,PROMEFARMA MEDIC. E PRODUTOS HOSPITALARES LTDA,61612
109,fornecedor,quitado,254922/A,2024-12-06,2025-01-05,2025-01-06,1679.44,0.0,0.0,ADMIN,DUPLICATA,SELLENE MATRIZ,254922
110,fornecedor,quitado,51831/A,2024-12-06,2025-01-03,2025-01-06,969.56,0.0,0.0,ADMIN,DUPLICATA,JB FARMA DISTRIBUIDORA,51831
111,fornecedor,quitado,51831/B,2024-12-06,2025-01-10,2025-01-17,963.35,0.0,0.0,ADMIN,DUPLICATA,JB FARMA DISTRIBUIDORA,51831
112,fornecedor,quitado,35273/B,2024-12-06,2025-01-15,2025-01-20,7000.0,0.0,0.0,ADMIN,DUPLICATA,NORD FARMA,35273
113,fornecedor,quitado,35273/C,2024-12-06,2025-01-25,2025-01-28,7000.0,0.0,0.0,ADMIN,DUPLICATA,NORD FARMA,35273
114,fornecedor,quitado,99208/A,2024-12-11,2025-01-10,2025-01-17,485.0,0.0,0.0,ADMIN,DUPLICATA,VALFARMA,99208
115,fornecedor,quitado,437484/A,2024-12-05,2025-01-04,2025-01-20,5744.79,0.0,0.0,ADMIN,DUPLICATA,EQUILIBRIUM,437484
116,fornecedor,quitado,437484/B,2024-12-05,2025-01-19,2025-01-27,5744.79,0.0,0.0,ADMIN,DUPLICATA,EQUILIBRIUM,437484
117,fornecedor,quitado,25728/A,2024-12-05,2025-01-04,2025-01-08,9987.97,0.0,0.0,ADMIN,DUPLICATA,MAXXI DISTRIBUIDORA,25728
118,fornecedor,quitado,25728/B,2024-12-05,2025-01-19,2025-01-23,9556.05,0.0,0.0,ADMIN,DUPLICATA,MAXXI DISTRIBUIDORA,25728
119,fornecedor,quitado,128245/A,2024-12-10,2025-01-09,2025-01-20,366.6,0.0,0.0,ADMIN,DUPLICATA,SUPER SUPPLY,128245
120,fornecedor,quitado,437484/C,2024-12-05,2025-02-03,2025-02-04,5744.82,0.0,0.0,ADMIN,DUPLICATA,EQUILIBRIUM,437484
121,fornecedor,quitado,1798459/B,2024-11-28,2025-01-13,2025-01-17,14452.04,0.0,0.0,ADMIN,DUPLICATA,CIRURGICA FERNANDES,1798459
122,fornecedor,quitado,1798459/C,2024-11-28,2025-01-27,2025-01-28,14889.99,0.0,0.0,ADMIN,DUPLICATA,CIRURGICA FERNANDES,1798459
123,fornecedor,quitado,38654/A,2024-12-10,2025-01-08,2025-01-20,3414.67,0.0,0.0,ADMIN,DUPLICATA,VMG,38654
124,fornecedor,quitado,38654/B,2024-12-10,2025-01-28,2025-02-04,3414.67,0.0,0.0,ADRIANA,DUPLICATA,VMG,38654
125,fornecedor,quitado,38654/C,2024-12-10,2025-02-07,2025-03-06,3414.66,0.0,0.0,ADMIN,DUPLICATA,VMG,38654
126,fornecedor,quitado,477535/A,2024-12-04,2025-01-01,2025-01-02,4446.66,0.0,0.0,ADMIN,DUPLICATA,DROGAFONTE,477535
127,fornecedor,quitado,117458/B,2024-11-29,2025-01-03,2025-01-08,10506.0,0.0,0.0,ADMIN,DUPLICATA,OLIMED,117458
128,fornecedor,quitado,117458/C,2024-11-29,2025-01-10,2025-01-17,10200.0,0.0,0.0,ADMIN,DUPLICATA,OLIMED,117458
129,fornecedor,quitado,117458/D,2024-11-29,2025-01-17,2025-01-23,10200.0,0.0,0.0,ADMIN,DUPLICATA,OLIMED,117458
130,fornecedor,quitado,477535/B,2024-12-04,2025-01-08,2025-01-20,4446.67,0.0,0.0,ADMIN,DUPLICATA,DROGAFONTE,477535
131,fornecedor,quitado,171942/B,2024-11-27,2025-01-25,2025-01-28,3340.7,0.0,0.0,ADMIN,DUPLICATA,LABOR IMPORT,171942
132,fornecedor,quitado,171942/C,2024-11-27,2025-02-24,2025-03-11,3340.69,0.0,0.0,ADMIN,DUPLICATA,LABOR IMPORT,171942
133,fornecedor,quitado,314/A,2024-12-10,2025-01-07,2025-01-17,938.13,0.0,0.0,ADMIN,DUPLICATA,TEC PRINT ROTULOS E ETIQ.,314
134,fornecedor,quitado,314/B,2024-12-10,2025-01-21,2025-01-27,938.12,0.0,0.0,ADMIN,DUPLICATA,TEC PRINT ROTULOS E ETIQ.,314
135,fornecedor,quitado,222966/D,2024-11-18,2025-01-06,2025-01-20,10008.57,0.0,0.0,ADMIN,DUPLICATA,STOCK MED,222966
136,fornecedor,quitado,222966/E,2024-11-18,2025-01-13,2025-01-20,10008.57,0.0,0.0,ADMIN,DUPLICATA,STOCK MED,222966
137,fornecedor,quitado,222966/F,2024-11-18,2025-01-20,2025-01-27,10008.57,0.0,0.0,ADMIN,DUPLICATA,STOCK MED,222966
138,fornecedor,quitado,222966/G,2024-11-18,2025-01-27,2025-01-28,10008.57,0.0,0.0,ADMIN,DUPLICATA,STOCK MED,222966
139,fornecedor,quitado,477535/C,2024-12-04,2025-01-15,2025-01-20,4446.67,0.0,0.0,ADMIN,DUPLICATA,DROGAFONTE,477535
140,fornecedor,quitado,110232/A,2024-12-07,2025-01-06,2025-01-06,5358.0,0.0,0.0,ADMIN,DUPLICATA,HOSPDROGAS,110232
141,fornecedor,quitado,5903/A,2024-12-09,2025-01-06,2025-01-20,7200.0,0.0,0.0,ADMIN,DUPLICATA,NEVOARN,5903
142,fornecedor,quitado,5903/B,2024-12-09,2025-01-13,2025-01-17,7200.0,0.0,0.0,ADMIN,DUPLICATA,NEVOARN,5903
143,fornecedor,quitado,5903/C,2024-12-09,2025-01-20,2025-01-27,7200.0,0.0,0.0,ADMIN,DUPLICATA,NEVOARN,5903
144,fornecedor,quitado,125488/A,2024-12-03,2025-01-07,2025-01-08,7527.7,0.0,0.0,ADMIN,DUPLICATA,EQUIPLEX,125488
145,fornecedor,quitado,125488/B,2024-12-03,2025-01-14,2025-01-20,7356.06,0.0,0.0,ADMIN,DUPLICATA,EQUIPLEX,125488
146,fornecedor,quitado,125488/C,2024-12-03,2025-01-28,2025-02-04,7358.28,0.0,0.0,ADMIN,DUPLICATA,EQUIPLEX,125488
147,fornecedor,quitado,110232/B,2024-12-07,2025-01-21,2025-01-27,5358.0,0.0,0.0,ADMIN,DUPLICATA,HOSPDROGAS,110232
148,fornecedor,quitado,124269/A,2024-12-05,2025-01-04,2025-01-08,12383.0,0.0,0.0,ADMIN,DUPLICATA,HIPOLABOR,124269
149,fornecedor,quitado,124269/B,2024-12-05,2025-01-19,2025-01-27,12383.0,0.0,0.0,ADMIN,DUPLICATA,HIPOLABOR,124269
150,fornecedor,quitado,124269/C,2024-12-05,2025-02-03,2025-02-04,12383.0,0.0,0.0,ADMIN,DUPLICATA,HIPOLABOR,124269
151,fornecedor,quitado,124269/D,2024-12-05,2025-02-18,2025-03-11,12383.0,0.0,0.0,ADMIN,DUPLICATA,HIPOLABOR,124269
152,fornecedor,quitado,86634/A,2024-12-17,2025-01-16,2025-01-01,69.9,0.0,0.0,ADMIN,DUPLICATA,KALUNGA SA,86634
153,fornecedor,quitado,99417/A,2024-12-17,2025-01-16,2025-01-20,1157.68,0.0,0.0,ADMIN,DUPLICATA,VALFARMA,99417
154,fornecedor,quitado,129833/A,2024-12-19,2025-01-18,2025-01-23,370.04,0.0,0.0,ADMIN,DUPLICATA,SUPER SUPPLY,129833
155,fornecedor,quitado,337254/A,2024-12-18,2025-01-17,2025-01-23,9451.8,0.0,0.0,ADMIN,DUPLICATA,FARMACE,337254
156,fornecedor,quitado,337254/B,2024-12-18,2025-01-27,2025-01-28,9451.8,0.0,0.0,ADMIN,DUPLICATA,FARMACE,337254
157,fornecedor,quitado,208163/A,2024-12-20,2025-01-09,2025-01-20,2390.0,0.0,0.0,ADMIN,DUPLICATA,REPIFARMA,208163
158,fornecedor,quitado,378/A,2024-12-20,2025-01-19,2025-01-23,303.6,0.0,0.0,ADMIN,DUPLICATA,TEC PRINT ROTULOS E ETIQ.,378
159,fornecedor,quitado,378/B,2024-12-20,2025-02-02,2025-02-04,303.6,0.0,0.0,ADMIN,DUPLICATA,TEC PRINT ROTULOS E ETIQ.,378
160,fornecedor,quitado,76984/A,2024-12-10,2025-01-07,2025-01-07,5051.28,0.0,0.0,ADMIN,DUPLICATA,VIC PHARMA,76984
161,fornecedor,quitado,76984/B,2024-12-10,2025-01-14,2025-01-20,5051.28,0.0,0.0,ADMIN,DUPLICATA,VIC PHARMA,76984
162,fornecedor,quitado,76984/C,2024-12-10,2025-01-21,2025-01-23,5051.28,0.0,0.0,ADMIN,DUPLICATA,VIC PHARMA,76984
163,fornecedor,quitado,76996/A,2024-12-10,2025-01-09,2025-01-20,14793.89,0.0,0.0,ADMIN,DUPLICATA,VIC PHARMA,76996
164,fornecedor,quitado,10003/A,2024-12-18,2025-01-17,2025-01-23,398.88,0.0,0.0,ADMIN,DUPLICATA,PLENAMED,10003
165,fornecedor,cancelado,540211/A,2024-12-18,2025-01-17,,192.42,0.0,192.42,ADRIANA,DUPLICATA,Fornecedor Não Informado,540211
166,fornecedor,quitado,111027/A,2024-12-11,2025-01-05,2025-01-06,2249.78,0.0,0.0,ADMIN,DUPLICATA,HOSPDROGAS,111027
167,fornecedor,quitado,111027/B,2024-12-11,2025-01-15,2025-01-20,2249.78,0.0,0.0,ADMIN,DUPLICATA,HOSPDROGAS,111027
168,fornecedor,quitado,111027/C,2024-12-11,2025-01-25,2025-01-28,2250.44,0.0,0.0,ADMIN,DUPLICATA,HOSPDROGAS,111027
169,fornecedor,quitado,255431/A,2024-12-17,2025-01-16,2025-01-20,777.74,0.0,0.0,ADMIN,DUPLICATA,SELLENE MATRIZ,255431
170,fornecedor,quitado,337254/C,2024-12-18,2025-02-06,2025-03-06,9451.8,0.0,0.0,ADMIN,DUPLICATA,FARMACE,337254
171,fornecedor,quitado,3019/A,2024-12-04,2025-01-01,2025-01-02,987.12,0.0,0.0,ADMIN,DUPLICATA,KOLPLAST CI LTDA,3019
172,fornecedor,quitado,1801442/A,2024-12-06,2025-01-05,2025-01-06,4786.49,0.0,0.0,ADMIN,DUPLICATA,CIRURGICA FERNANDES,1801442
173,fornecedor,quitado,1801442/B,2024-12-06,2025-01-20,2025-01-23,4521.0,0.0,0.0,ADMIN,DUPLICATA,CIRURGICA FERNANDES,1801442
174,fornecedor,quitado,1801442/C,2024-12-06,2025-02-04,2025-03-06,4658.0,0.0,0.0,ADMIN,DUPLICATA,CIRURGICA FERNANDES,1801442
